,bedrooms,bathrooms,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,zipcode,sqft_living15,sqft_lot15,price,age,predicted,expected
66,4,2.5,2.0,0,0,3,10,2720,0,98004,2750,11049,975000,9382,1323925,2725295
67,4,2.5,2.0,0,0,3,7,2240,0,98001,2221,4557,287000,3568,322632,1321038
68,3,1.0,1.0,0,0,4,7,1000,0,98042,1010,12635,204000,17038,220966,961325
69,5,2.25,1.0,0,0,3,8,1600,1600,98004,3390,20158,1330000,18059,1154896,2860624
70,5,3.25,1.0,0,0,4,11,3070,1700,98005,3530,38917,1040000,15229,1262274,2391035
71,3,2.0,1.0,0,0,4,7,1260,0,98034,1640,4745,325000,15710,387779,1626377
72,4,2.0,1.5,0,0,5,7,2250,500,98125,1510,7807,571000,35955,577504,1767602
73,4,2.5,2.0,0,0,3,8,2380,0,98038,2420,5000,360000,3477,398375,1334965
74,3,1.75,1.0,0,0,5,7,1090,700,98042,1940,50529,349000,18336,297188,1097858
75,4,4.0,2.0,0,0,4,10,2390,1040,98075,3240,35020,832500,10535,871698,1755311
76,4,1.75,1.0,0,0,3,7,880,880,98008,1680,7500,380000,21470,447372,1721839
77,3,1.0,1.0,0,0,3,7,1040,0,98116,890,5060,480000,27137,420702,1510709
78,3,1.0,1.0,0,0,4,7,910,500,98133,1130,5693,410000,21344,342335,1309608
79,4,2.5,2.0,0,0,3,10,3450,0,98010,3350,39750,720000,4829,668391,1582217
80,3,2.5,2.0,0,0,3,8,2350,0,98038,2350,5363,390000,4353,398883,1334515
81,4,2.5,2.0,0,0,3,7,1900,0,98038,1870,6405,360000,8391,307451,1233894
82,2,1.0,1.0,0,0,3,7,1010,1010,98118,1720,6720,355000,24407,383056,1480577
83,3,1.5,1.0,0,0,3,8,1680,0,98059,1850,8797,356000,18655,369271,1366693
84,3,1.0,1.0,0,0,3,6,960,0,98125,1570,7203,315000,22798,340440,1394280
85,3,1.5,2.0,0,0,3,9,1900,240,98119,2020,4800,940000,32824,931696,2414492
86,5,2.25,1.5,0,0,5,7,2660,0,98092,1590,8165,305000,19664,366344,1186492
87,3,3.25,2.0,0,0,3,9,1980,790,98056,1900,7349,461000,3090,514585,1771484
88,2,2.25,2.0,0,0,4,7,1610,0,98056,1950,2025,215000,12922,343326,1383261
89,2,1.75,2.0,0,0,3,7,765,265,98136,1030,1106,335000,3168,343987,1366430
90,4,2.5,2.0,0,0,3,7,1980,0,98023,1980,7510,243500,9638,250026,1022984
91,5,2.75,2.0,0,0,4,10,3520,0,98199,2520,6250,1100000,5182,1149760,2539583
92,3,1.0,1.0,0,0,3,7,1200,0,98023,1350,10500,153000,19414,212110,900820
93,3,1.5,1.0,0,0,3,8,1290,290,98117,1570,4500,430000,27599,603915,1833554
94,3,1.5,1.0,0,0,3,8,1290,290,98117,1570,4500,700000,27750,604158,1833795
95,4,2.5,1.0,0,0,3,7,2390,910,98040,1950,6045,905000,25087,884596,2416902
96,3,1.75,1.0,0,0,3,7,1960,0,98032,1750,15616,247500,17620,277072,1165876
97,4,1.5,1.0,0,0,4,7,1160,0,98023,1160,6400,199000,14499,151377,878574
98,3,1.75,1.0,0,0,5,7,1210,600,98038,1650,135036,314000,12610,362543,1233644
99,3,2.5,2.0,0,2,3,9,2320,0,98045,2550,35065,437500,8171,548990,1507481
100,3,2.5,1.5,0,0,5,9,1270,800,98102,2200,4500,850830,38147,986935,2414111
101,3,2.0,1.5,0,0,4,7,1440,540,98117,1610,3478,555000,31345,604370,1790727
102,3,2.25,2.0,0,0,4,8,2190,0,98077,2570,47777,699950,11668,523637,1501478
103,3,2.5,2.0,0,0,3,8,2920,0,98004,2370,8113,1090000,23655,1066204,2771932
104,3,1.0,1.0,0,0,3,7,1210,0,98058,1640,14910,290000,22181,244752,1113814
105,3,2.5,1.0,0,0,4,8,1460,880,98058,2250,8162,375000,13605,386727,1268291
106,3,1.0,1.5,0,0,4,7,1170,500,98117,1240,4005,460000,27536,531778,1699910
107,2,1.75,1.0,0,0,4,8,1240,0,98198,1270,4966,188500,10795,257031,972271
108,4,2.5,2.0,0,0,4,10,3140,0,98077,2990,35001,680000,8829,787605,1668159
109,5,1.75,2.0,0,0,4,7,2030,0,98052,2500,9433,470000,26536,536220,1586283
110,4,2.5,2.0,0,0,3,8,2310,0,98027,1940,9636,597750,11163,534118,1510480
111,3,1.75,1.0,0,0,5,6,700,560,98103,1380,3536,570000,40239,494214,2131785
112,3,1.75,1.0,0,0,4,7,1160,380,98038,1540,11656,272500,12677,272658,1157731
113,3,1.75,1.0,0,2,3,7,1080,1000,98108,2090,5500,329950,16033,425227,1528656
114,4,2.5,2.0,0,3,3,9,2520,710,98001,2640,8517,480000,5048,599121,1809879
115,3,3.5,2.0,0,0,3,8,2780,1600,98117,1830,6350,740500,41962,1019402,2341315
116,3,3.5,3.0,0,0,3,8,1590,0,98103,1620,3166,518500,1637,563350,1988354
117,2,1.0,1.0,0,0,4,6,880,0,98178,1190,6780,205425,25375,190458,1143606
118,4,2.0,1.0,0,0,3,6,1570,0,98168,1880,9000,171800,23748,261892,1288657
119,4,1.0,1.5,0,0,4,7,1610,0,98144,1610,4040,535000,33002,496728,2054619
120,3,2.5,1.0,0,2,3,8,1560,840,98177,2340,10856,660000,18629,653626,1775710
121,3,2.0,1.0,0,0,3,7,1450,0,98034,1580,9104,391500,10184,395289,1665426
122,2,1.0,1.0,0,0,3,6,770,0,98117,1710,6000,395000,22740,381628,1520085
123,4,1.75,1.5,0,0,5,7,1720,380,98118,1850,4400,445000,33180,506648,1540290
124,3,2.25,2.0,0,0,3,9,2910,0,98052,2700,13992,770000,8934,801328,1763322
125,4,2.75,1.5,0,0,3,8,1980,770,98004,3060,11275,1450000,36950,1033802,2738158
126,3,2.25,1.0,0,2,3,8,1620,480,98178,2660,8712,445000,17364,429220,1456462
127,4,2.25,1.0,0,0,3,8,1360,800,98023,2090,8400,260000,13346,281784,1040842
128,5,3.5,2.0,0,0,5,7,1720,600,98103,1700,4960,822500,32305,726617,2305050
129,4,2.5,2.0,0,0,3,7,2070,0,98065,1970,3748,430000,4113,418648,1302086
130,3,1.75,1.0,0,0,4,7,1060,0,98092,1420,7680,212000,10596,218921,898027
131,4,2.25,1.0,0,0,3,8,1440,570,98027,2060,9793,660500,10709,492841,1491706
132,3,3.5,1.5,0,0,3,9,2460,1490,98052,2480,88500,784000,9293,919077,1881071
133,3,2.5,2.0,0,0,3,8,1390,620,98029,1690,1662,453246,131,489784,1437439
134,4,3.5,3.0,0,0,3,9,2140,0,98107,1540,2285,675000,3677,769078,2122059
135,3,1.75,1.0,0,0,4,7,1320,0,98003,1550,19265,199000,21409,229296,1036312
136,4,1.75,1.0,0,0,3,7,1010,1010,98003,1750,8140,220000,17018,232711,1110831
137,4,2.25,1.0,0,0,4,8,1340,1250,98028,1550,10436,452000,16950,466570,1453013
138,2,1.0,1.0,0,0,3,6,1190,0,98125,1060,5715,382500,12240,349484,1345561
139,3,2.25,3.0,0,0,3,8,1170,0,98107,1350,1310,519950,126,454239,1807581
140,2,1.0,1.0,0,0,3,7,1110,0,98119,1170,3600,665000,32684,557226,2092561
141,5,2.5,1.0,0,0,4,8,1550,1270,98006,2820,9375,527700,16990,695473,1709033
142,3,1.0,1.0,0,0,4,7,1010,600,98058,1610,8579,205000,19485,263819,1126107
143,3,1.0,1.0,0,0,4,7,940,120,98133,1560,7940,420000,33707,343210,1320651
144,4,2.25,1.0,0,0,4,8,1380,650,98006,2230,8824,500000,19780,600486,1614047
145,4,2.5,2.0,0,0,4,9,3670,0,98077,2840,87991,921500,7641,839623,1769912
146,4,1.0,2.0,0,0,3,8,2370,180,98109,2200,4000,890000,39987,915161,2620890
147,2,2.5,2.0,0,0,3,7,2420,0,98027,1940,193842,430000,2774,591402,1583990
148,5,2.0,1.0,0,0,4,8,1130,1130,98032,1360,18000,258000,20026,265678,1044814
149,3,1.0,1.0,0,0,3,7,980,450,98103,1450,4599,511000,24779,499483,2170149
150,3,2.0,2.0,0,0,3,8,1360,0,98103,1500,3090,532170,8997,519805,2024333
151,3,1.0,1.5,0,0,3,7,1110,0,98107,1420,5000,560000,24935,465714,2040651
152,3,1.0,1.0,0,0,4,7,1250,0,98003,1680,8633,282950,22369,212957,1029842
153,4,3.25,2.0,0,3,3,12,3540,1640,98006,3160,9750,2250000,3377,1570884,2489189
154,1,1.0,1.0,0,0,3,7,700,0,98115,1010,5100,350000,26433,392788,1592474
155,3,1.0,1.0,0,0,4,7,1180,0,98058,1190,7669,215000,17375,242186,1077416
156,5,3.5,2.0,0,0,3,9,2500,1460,98056,2640,13675,650000,6898,704074,2003837
157,4,2.75,1.0,0,0,3,8,1620,1020,98023,1980,7875,320000,17385,333825,1111296
158,3,2.0,1.5,0,0,3,7,1270,0,98022,1160,7198,247000,36111,207358,1038043
159,4,1.75,1.0,0,0,4,8,1760,0,98059,1730,11180,320000,17077,391995,1346521
160,5,2.25,1.0,0,0,3,7,1030,1030,98146,1010,11680,255000,19119,304647,1397382
161,3,1.75,1.0,0,0,3,7,1780,0,98034,1200,9660,438000,19425,433379,1776270
162,3,2.5,2.0,0,0,3,10,3400,0,98075,3400,12601,900000,5541,846314,1786823
163,3,2.75,1.0,0,0,3,7,1160,750,98034,1710,8152,441000,12954,433118,1688806
164,3,2.0,1.0,0,0,4,7,1010,1010,98027,2110,36590,420000,14468,463775,1423721
165,3,1.75,1.0,0,0,3,7,1180,400,98034,1640,7500,370000,14221,398367,1694632
166,2,1.75,1.0,0,0,5,5,700,640,98198,1830,9750,269950,24155,212324,985961
167,4,2.5,2.0,0,0,3,9,2680,0,98006,2920,4500,807100,5926,786504,1748498
168,3,2.5,1.0,0,0,4,8,1610,1070,98034,2480,8750,653000,12939,603910,1959379
169,3,2.0,1.0,0,0,5,7,1370,0,98133,1770,7288,371500,18424,404729,1368192
170,3,1.75,1.0,0,0,3,7,1560,0,98166,1070,7920,284000,22354,341432,1190730
171,3,1.75,1.0,0,0,4,7,1670,490,98023,1930,7350,272000,13515,274018,1042614
172,3,1.5,1.5,0,0,3,7,1340,0,98133,1480,7940,313000,21671,348909,1346896
173,4,2.5,2.0,0,0,3,10,2570,1310,98033,3740,35230,917500,11338,1219125,2364762
174,4,2.25,2.0,0,0,4,8,2590,0,98006,2260,8335,673000,12690,704192,1717752
175,3,2.5,2.0,0,0,3,8,820,300,98122,1590,1795,425000,2597,442722,1834751
176,5,2.75,1.0,0,0,3,7,1320,650,98144,1280,2150,399950,10416,453835,2017434
177,3,1.0,1.0,0,0,3,6,1220,0,98122,1200,4800,385000,41422,436735,2088656
178,3,1.5,1.0,0,2,4,7,1320,630,98022,1950,8941,269950,14565,308674,1330773
179,2,1.0,1.0,0,0,3,7,1060,290,98177,1540,8280,330000,24112,386561,1451881
180,3,2.5,2.0,0,0,3,7,1670,0,98030,1670,6183,260000,9702,272897,1032615
181,4,3.0,1.5,0,0,4,7,1680,700,98126,1410,5375,470000,32975,542289,1676663
182,4,3.0,2.0,0,0,5,7,2440,0,98034,2290,9600,589000,19521,584677,1956217
183,2,1.5,2.0,0,0,3,7,1050,0,98038,1050,3417,163500,6778,182701,1040538
184,4,2.75,2.0,0,0,3,9,2140,990,98052,2260,9984,835000,7917,731321,1693315
185,5,3.0,1.0,0,2,4,10,2090,2000,98033,2540,10270,1100000,10551,1409728,2564784
186,4,1.75,1.0,0,0,4,8,1100,390,98023,2190,8910,269000,16905,238401,945383
187,3,2.5,2.0,0,0,3,8,1900,0,98074,2030,8744,560000,9986,528036,1438648
188,4,1.0,1.5,0,0,4,6,1330,0,98103,1330,4400,615000,41745,491481,2154475
189,3,2.25,1.0,0,0,3,8,1430,800,98052,2230,9340,585188,14583,560101,1601670
190,3,1.75,1.0,0,0,3,7,1220,430,98034,1540,8400,305000,13743,402062,1702005
191,3,1.0,1.0,0,0,3,6,1190,0,98058,1230,7980,166950,20397,217071,1086009
192,3,2.5,1.0,0,0,4,8,2140,0,98040,2680,10083,799000,20343,881359,2243517
193,3,2.5,1.0,0,0,4,7,1420,760,98133,1900,7818,400000,19168,449265,1494171
194,3,1.0,1.0,0,0,3,7,1060,0,98155,1570,10228,230000,24441,316423,1390259
195,3,2.5,2.0,0,0,3,8,1690,0,98023,2550,5001,256883,4152,262477,995615
196,4,2.0,1.5,0,0,5,7,1130,840,98108,1500,6480,423000,34648,386610,1326524
197,3,2.5,2.0,0,0,3,8,2150,0,98126,1750,2385,465000,2760,543840,1589105
198,3,2.5,2.0,0,0,3,7,1910,0,98024,2330,67268,440000,6586,440720,1461524
199,3,1.75,1.0,0,0,4,7,1350,0,98038,1560,50965,385000,16722,288681,1176835
200,3,1.0,1.0,0,0,4,6,860,0,98056,1300,9514,210000,26367,234025,1366848
201,3,2.5,2.0,0,0,3,8,1940,0,98042,2030,10450,297000,7620,312231,1136960
202,3,1.0,1.0,0,0,3,7,1010,0,98107,1680,5000,470000,22842,475862,2096296
203,3,1.5,1.0,0,0,4,7,900,400,98023,1430,7500,226500,14095,195398,888691
204,3,1.0,1.0,0,0,4,6,910,0,98059,1400,8040,274250,19419,235828,1178956
205,4,1.75,1.0,0,0,4,9,1630,850,98040,2770,10744,840000,17747,927892,2265412
206,3,2.5,2.0,0,0,3,8,2440,0,98052,2750,4587,677900,1722,619929,1665195
207,3,1.0,1.0,0,0,3,7,1010,0,98116,1290,5000,425000,36560,435788,1539267
208,2,0.75,1.0,0,0,3,6,900,0,98166,1250,14280,180250,26989,271619,1054883
209,6,3.0,2.0,0,0,3,7,1600,700,98133,1560,1312,464000,34531,427277,1455108
210,4,2.25,2.0,0,0,3,8,1550,0,98038,1630,6397,320000,8146,290100,1164620
211,3,2.25,2.0,0,0,3,8,1060,210,98105,1160,1327,625504,197,509683,2062302
212,4,2.5,1.0,0,0,3,9,2240,0,98074,2520,12368,592500,11457,622351,1695910
213,3,2.5,2.0,0,0,3,9,2714,0,98001,2590,18386,465000,3665,470427,1461644
214,4,2.75,2.0,0,0,3,8,1720,0,98118,2130,8700,477000,13295,450034,1495300
215,2,1.0,1.0,0,0,3,6,850,0,98168,1100,14459,280000,33617,175660,1140449
216,5,3.0,1.0,0,3,3,9,1870,1430,98040,3836,20953,1510000,21235,1330551,2813346
217,3,2.5,2.0,0,0,3,8,2250,0,98146,1320,5390,445838,5297,437255,1482520
218,2,2.25,1.0,0,3,3,8,1950,1950,98144,2580,5184,1070000,24711,1059735,2765464
219,2,1.5,1.0,0,0,4,8,1320,0,98177,2120,12040,467000,24767,495851,1509411
220,4,2.5,2.0,0,0,3,10,2760,0,98075,3070,8127,686000,5712,711344,1625170
221,3,2.0,1.0,0,0,3,7,1350,400,98198,1900,10125,279950,19513,270806,1075027
222,4,2.25,2.0,0,0,3,8,2330,0,98011,1910,10055,527000,10108,494938,1428949
223,3,2.25,1.0,0,0,4,8,1780,440,98030,2080,9583,325000,17792,354942,1224178
224,3,2.25,2.0,0,0,3,7,2020,0,98038,2020,8031,328000,7550,328323,1271017
225,3,2.25,1.0,0,0,5,7,1250,0,98146,1280,7392,390000,26452,348352,1381994
226,2,2.0,1.0,0,0,3,8,1510,0,98053,1640,6009,479950,3719,493925,1352515
227,4,2.25,1.0,0,0,4,7,1120,600,98023,1510,9753,264950,13297,210020,953909
228,3,1.0,1.0,0,0,4,7,980,450,98031,1960,13068,235000,19737,230134,995643
229,3,2.5,2.0,0,0,3,7,1480,0,98053,2250,4729,516500,4079,464598,1358394
230,2,1.75,2.0,1,4,3,7,1230,220,98166,2030,13193,655000,36627,614076,1717555
231,4,2.75,1.0,0,0,5,7,2280,0,98059,2280,15347,500000,19890,474210,1481224
232,6,2.75,1.0,0,0,3,8,1780,1160,98023,2120,8236,315000,13473,357393,1100973
233,2,1.0,1.0,0,0,3,6,1000,0,98024,1150,13702,213000,19681,286058,1269369
234,3,1.5,1.5,0,0,5,7,1620,860,98108,2090,4800,475000,24716,445337,1519940
235,5,4.0,2.0,0,0,3,10,3760,0,98033,3430,35096,1030000,11483,1400512,2563338
236,3,2.0,1.0,0,0,5,7,1640,580,98010,2070,80100,416000,14343,421732,1313918
237,4,1.0,1.5,0,0,3,7,1670,300,98122,1510,4740,410000,40621,586486,2224338
238,3,3.5,2.0,0,0,3,10,3530,300,98077,2920,148539,800000,7851,918672,1832498
239,6,2.5,1.0,0,2,4,9,2350,2060,98003,2600,13988,472000,18045,584172,1804673
240,3,1.75,1.0,0,0,4,7,1430,0,98003,1190,8640,225000,17143,239892,1028292
241,2,1.0,1.0,0,0,3,6,830,0,98126,830,4960,210000,27302,282672,1374950
242,2,1.0,1.5,0,0,2,7,1430,0,98115,1450,3750,455000,32898,519289,1644451
243,3,1.0,1.0,0,0,4,6,1300,0,98002,1260,8316,225000,22396,192953,1134366
244,2,1.0,1.0,0,2,4,7,790,240,98103,1390,3060,480000,35301,551909,2128840
245,3,2.5,2.0,0,0,3,9,2740,0,98023,2570,10377,363000,9173,411636,1190002
246,4,2.5,1.0,1,4,3,9,1830,1820,98074,3120,18841,2400000,5385,1890023,3372818
247,2,1.5,1.0,0,0,3,6,720,0,98106,1150,2566,181000,22336,224143,1208818
248,4,2.0,1.0,0,0,4,7,2010,0,98002,2010,7650,250000,14317,282423,1336142
249,3,1.75,1.0,0,0,4,6,770,790,98103,1390,3000,481000,35540,482155,2181502
250,3,2.0,1.0,0,0,4,7,1240,570,98032,1750,7209,260000,13414,240353,1018253
251,4,2.5,2.0,0,0,3,9,3360,0,98058,3060,6567,455000,4880,552558,1498214
252,3,2.25,2.0,0,0,3,8,1510,0,98045,1730,36224,415000,8856,363706,1271859
253,3,1.0,1.0,0,0,3,7,800,600,98118,1620,6331,349500,22755,325919,1400039
254,3,2.5,2.0,0,0,3,7,1730,0,98030,1630,6458,245000,10133,275557,1042031
255,2,2.0,1.5,0,2,5,7,1420,0,98115,1420,6816,592500,31550,651824,1731547
256,4,1.75,1.0,0,0,4,7,1180,1180,98106,1910,7620,385000,21842,400563,1496531
257,3,1.75,1.0,0,0,4,7,1200,380,98059,1550,10650,315000,15016,323848,1263548
258,3,1.0,1.0,0,0,3,7,1230,0,98045,1380,10098,255000,13111,291326,1221326
259,4,2.5,2.0,0,0,3,8,2460,0,98052,2990,5659,693000,3162,630767,1676033
260,3,1.0,1.5,0,0,3,8,1460,200,98112,1660,4400,780000,37956,735502,2441231
261,3,1.75,1.0,0,0,4,7,1270,0,98198,1600,8470,237000,20020,243473,1010255
262,3,2.25,2.0,0,0,3,10,1320,780,98074,2380,33450,525000,13133,528368,1442194
263,2,1.0,1.0,0,0,3,5,770,0,98144,1330,2580,425000,31163,300933,1764387
264,1,0.75,1.0,1,4,5,5,760,0,98070,1230,14267,369900,28789,478294,2047044
265,4,2.5,2.0,0,0,4,7,1700,0,98031,1950,7475,290000,9635,265661,1034772
266,3,1.0,1.0,0,0,3,7,1120,0,98106,1130,6350,285000,22186,286208,1270725
267,2,1.0,1.0,0,0,3,7,1070,0,98115,1320,4465,415000,28349,469699,1591963
268,3,2.5,1.0,0,0,3,8,1420,650,98023,2070,8250,272500,13247,284279,1039448
269,4,3.25,1.5,0,2,3,11,4750,300,98004,3890,20060,2900000,12176,2540924,3737019
270,4,4.75,2.0,0,0,4,11,5310,0,98077,4180,47443,1370000,9410,1315197,2404672
271,2,1.0,1.0,0,0,4,7,1040,0,98133,1440,7530,436000,27879,344374,1310664
272,3,1.0,1.0,0,0,4,7,1700,0,98003,1350,8164,210000,17456,240645,1108562
273,3,1.0,1.0,0,0,3,7,1300,0,98178,1320,7619,236000,19625,242057,1215369
274,3,1.75,1.0,0,0,3,7,580,500,98199,1440,2225,331000,22242,439442,1925308
275,3,2.5,2.0,0,0,3,8,2653,0,98031,2653,4927,365000,3365,406410,1249716
276,3,2.0,1.0,0,0,5,8,2290,0,98058,1660,10530,450000,20115,426452,1297228
277,4,2.75,2.0,0,0,3,9,2850,970,98028,1860,12136,770000,316,683094,1645088
278,4,2.5,1.0,0,0,3,8,2210,0,98038,2670,49385,455000,6698,422891,1374991
279,3,1.75,1.0,0,0,3,6,1240,1150,98118,2020,6000,405000,39206,420492,1570773
280,4,1.75,1.0,0,0,4,7,1610,990,98031,1720,11088,304900,16619,329412,1221967
281,2,1.0,1.0,0,0,3,6,860,0,98178,1650,8775,170000,30738,195169,1170846
282,5,3.0,2.0,0,1,5,9,2630,1200,98122,3050,7556,2050000,40309,1685953,2933232
283,4,2.5,2.0,0,0,3,9,3500,0,98053,3920,7864,780000,3467,820718,1782713
284,3,3.0,1.0,0,0,4,8,1740,680,98028,2570,13300,330000,9961,500101,1507108
285,4,2.5,2.0,0,0,3,9,2720,0,98030,2410,8100,370000,8283,430352,1285969
286,5,2.25,1.0,0,0,3,7,1850,650,98072,2300,9750,467000,13073,490593,1514569
287,3,1.75,1.0,0,0,3,7,1140,530,98034,1670,7320,405000,12823,401593,1703888
288,5,2.25,1.0,0,0,3,8,1450,1450,98006,2310,10300,675000,10774,632852,1678117
289,2,1.0,1.0,0,0,4,7,1140,500,98006,1520,13527,500000,22138,443001,1514775
290,4,2.5,2.0,0,0,4,7,1890,0,98166,2410,15256,389999,17005,402884,1279708
291,4,1.75,1.0,0,2,4,8,1780,1170,98034,2120,9600,630000,14664,664058,2151633
292,4,2.5,2.0,0,0,3,9,2160,0,98001,2280,9937,360000,8330,378389,1319318
293,4,3.0,2.0,0,0,3,8,2270,1010,98056,2320,11004,580000,10501,508704,1892788
